UnitID,Name,UniqueID,Credits,TypeID,Type,LevelID,Level,UnitTypeID,Details
568,"Personal Skills for the Public Services","Unit 7",4,2,BTEC,-1,,,
569,"Introduction to Security Work in the Public Services","Unit 10",4,2,BTEC,-1,,,
570,"Map Reading Using Ordance Survey Maps","Unit 12",2,2,BTEC,-1,,,
572,"Public Service Incidents","Unit 13",4,2,BTEC,-1,,,
573,"Planning and Participating in an event","Unit 15",4,2,BTEC,-1,,,
574,"Introduction to Expedition Skills","Unit 17",4,2,BTEC,-1,,,
575,"Developing Personal Skills for Leadership","Unit 18",2,2,BTEC,-1,,,
1104,"Unit 17: Assist with the Care of Animals",A/502/4588,2,13,"BTEC Lower",1,"Level 1",,"The learner will be able to assist with the care of animals, including monitoring the
health and condition of the animals and providing feed and water. All work will take
place in a supervised context and must meet appropriate health and safety
requirements."
593,"101: Improving Productivity Using IT",T/502/4153,3,2,BTEC,-1,,,
594,"102: IT User Fundamentals",J/502/4206,0,2,BTEC,-1,,,
596,"112: IT Software Fundamentals",L/502/4384,0,2,BTEC,-1,,,
597,"107: Using the Internet",T/502/4296,0,2,BTEC,-1,,,
598,"109: Using Email",J/502/4299,0,2,BTEC,-1,,,
599,"1: Alternatives to Paid Work",Y/503/2827,1,2,BTEC,-1,,,
600,"3: Managing Your Own Money",H/503/2829,2,2,BTEC,-1,,,
601,"5: Searching for a Job",D/503/2831,1,2,BTEC,-1,,,
602,"6: Applying for a Job",H/503/2832,1,2,BTEC,-1,,,
603,"7: Preparing for an Interview",K/503/2833,1,2,BTEC,-1,,,
604,"8: Interview Skills",M/503/2834,1,2,BTEC,-1,,,
606,"14: Learning with Colleagues and Other Learners",F/503/2840,2,2,BTEC,-1,,,
607,"16: Positive Attitudes and Behaviours at Work",L/503/2842,1,2,BTEC,-1,,,
608,"17: Working in a Team",R/503/2843,3,2,BTEC,-1,,,
983,"Unit 21: Investigating Rights and Responsibilities at Work",K/503/2847,1,13,"BTEC Lower",1,"Level 1",,"The aim of this unit is for learners to develop knowledge of employee rights and
responsibilities, employer responsibilities and how the rights of employees are upheld
in the workplace."
982,"Unit 18: Learning from More Experienced People",Y/503/2844,2,13,"BTEC Lower",1,"Level 1",,"This unit encourages learners to gain knowledge and understanding from a variety of
experienced people both within and outside the workplace. Learners will reflect on
their learning and consider how to apply their new knowledge and skills."
986,"Unit 107: Using the Internet",T/502/4296,3,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and knowledge needed by the IT User to
understand and use a connection method and basic Internet software tools
and techniques to search for and exchange information for straightforward
or routine activities. Any aspect that is unfamiliar will require support and
advice from others.
Internet tools and techniques will be defined as ‘basic’ because:
• the software tools and functions will be pre-determined or commonly
used; and
• the range of techniques used for searching and exchanging information
will be familiar or commonly undertaken.
An activity will typically be ‘straightforward or routine’ because:
• the task or context will be familiar and involve few factors (for example,
time available, audience needs, content, structure); and
• the input and output of information will be predetermined by the person
supervising the task."
987,"Unit 108: Using Moblie IT Devices",H/502/4374,2,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and knowledge to set up and use a mobile or
handheld device securely to input and store data and to transfer data to and
from another device.
The use of mobile technologies will be defined as ‘basic’ because:
• the tools and functions on the mobile device will be pre-loaded and
• the techniques used for sharing files between devices will be familiar or
commonly undertaken.
An activity will typically be ‘straightforward or routine’ because:
• the task or context using mobile technologies will be familiar and involve
few factors (for example, sending SMS messages to colleagues,
maintaining a calendar of events, taking notes, capturing a photo, using
Bluetooth connectivity to send a photo to a friend’s mobile phone.)"
988,"Unit 109: Using Email",J/502/4299,2,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and techniques to use a range of basic e-mail software tools to send, receive and store messages for straightforward or routine activities. Any aspect that is unfamiliar will require support and advice from others.
E-mail tools and techniques will be defined as ‘basic’ because:
• the software tools and functions will be predetermined or commonly used; and
• the techniques used will be familiar or commonly undertaken.
An activity will typically be ‘straightforward or routine’ because:
• the task or context will be familiar and involve few factors (for example,
time available, audience needs, content, structure); and
• the input and output of information will be predetermined by the person supervising the task."
989,"Unit 102: IT User Fundamentals",J/502/4206,3,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and techniques to operate IT systems for activities most of which are routine and straightforward, to respond appropriately to common IT errors and problems and review own use of IT. Any aspect that is unfamiliar will require support and advice from others.

An activity will typically be ‘straightforward or routine’ because:
• the tasks or context will be familiar; and
• the techniques required will also be commonly undertaken."
990,"Unit 112: IT Software Fundamentals",L/502/4384,3,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and knowledge to use appropriate predefined or
commonly used IT tools to develop and produce information for tasks and
activities that are straightforward or routine. Any aspect that is unfamiliar
will require support and advice from other people.
An activity will typically be ‘straightforward or routine’ because:
• the task or context need will be familiar and involve few factors (for
example, time available, audience needs, message, structure);
• the input and output of information will be predetermined by the person
supervising the task; and
• the techniques used will be familiar or commonly undertaken."
991,"Unit 120: Design Software",M/502/4572,3,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and knowledge required by an IT user to use
basic design software tools and techniques appropriately to produce
straightforward or routine designs. Any aspect that is unfamiliar will require
support and advice from others.
Design software tools and techniques will be defined as ‘basic’ because:
• the range of inputting, manipulation and outputting techniques will be
straightforward or routine;
• the software tools and functions involved will be predefined or commonly
used;
• the type and structure of the task will be predetermined or familiar."
992,"Unit 121: Imaging Software",J/502/4612,3,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and knowledge required by an IT user to use basic imaging software tools and techniques appropriately to produce
straightforward or routine images. Any aspect that is unfamiliar will require
support and advice from others.
Imaging software tools and techniques will be described as ‘basic’ because:
• the range of inputting, manipulation and outputting techniques will be
straightforward or routine;
• the software tools and functions involved will be predefined or commonly
used;
• the type and structure of the task will be predetermined or familiar."
993,"Unit 125: Presentation Software",K/502/4621,3,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and knowledge required by an IT user to use a
range of basic presentation software tools and techniques to produce
straightforward or routine presentations which include a combination of
media (eg images, animation and sound) for education, entertainment or
information sharing.
Any aspect that is unfamiliar will require support and advice from others.
Presentation tools and techniques at this level are described as ‘basic’
because:
• the software tools and functions will be predefined or commonly used;
• the range of entry, manipulation and outputting techniques will be
straightforward or routine; and
• the inputting, manipulating and outputting of the information will be
predetermined, straightforward or routine."
994,"Unit 128: Website Software",L/502/4630,3,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and knowledge required by an IT user to use
basic website software tools and techniques appropriately to produce
straightforward or routine single web pages from pre-set templates. Any
aspect that is unfamiliar will require support and advice from others.
Website software tools and techniques will be described as ‘basic’ because:
• the software tools and functions involved will be predefined or commonly
used;
• the range of inputting, manipulation and outputting techniques are
straightforward or routine; and
• the template used for the content will be predetermined or familiar."
995,"Unit 129: Word Processing Software",L/502/4627,3,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and knowledge required by an IT User to use a
range of basic word processing software tools and techniques to produce
appropriate, straightforward or routine documents. Any aspect that is
unfamiliar will require support and advice from others.
Word processing tools and techniques will described as ‘basic’ because:
• the software tools and functions will be predetermined or commonly
used; and
• the techniques needed for text entry, manipulation and outputting
will be straightforward or routine."
996,"Unit 130: Internet Safety fot IT users",H/502/9154,3,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and knowledge required by the IT user to work safely and responsibly online in the context of activities that are routine and familiar.
As a result of this unit, the candidate will understand the risks of working online and be able to take appropriate precautions to safeguard themselves and others and protect data and IT systems."
997,"Unit 127: Spreadsheet Software",A/502/4624,3,13,"BTEC Lower",1,"Level 1",,"This unit is about the skills and knowledge required by an IT user to use a range of basic spreadsheet software tools and techniques to produce, present and check spreadsheets that are straightforward or routine. Any aspect that is unfamiliar will require support and advice from others. Spreadsheet software tools and techniques will be described as ‘basic’
because:
• the range of data entry, manipulation, formatting and outputting techniques are straightforward;
• the tools, formulas and functions involved will be predetermined or
commonly used (for example, sum, divide, multiply, take away and
fractions); and
• the structure and functionality of the spreadsheet will be predetermined or familiar."
1172,"4: Horticulture: Introduction to Pruning Trees and Shrubs",Y/600/0129,3,13,"BTEC Lower",1,"Level 1",,"This unit introduces the learner to practical elements of the pruning process for trees and shrubs.
Learners will undertake simple pruning tasks using a variety of tools needed for the relevant plant subjects."
1173,"14: Care of Farm Animals",M/502/4538,6,13,"BTEC Lower",1,"Level 1",,"The learner will develop confidence and skills that are required on a daily basis on livestock
farms through a range of tasks associated with observation, safe moving, treating, cleaning and
preparing a new environment for farm animals. In this unit, use of the term ‘farm animals’
relates to cattle or sheep or pigs."
1174,"15: Maintain the Safety of Self and Others in the Workplace",R/600/0291,4,13,"BTEC Lower",1,"Level 1",,"This unit is designed to develop the knowledge, skills and understanding to ensure that health
and safety becomes part of routine working practices; to build habits of working with regard for
personal safety and that of others, and if an emergency does occur to know what to do and who
to report to."
1175,"16: Assist with the Maintenance of Equipment",F/502/4608,3,13,"BTEC Lower",1,"Level 1",,"The learner will be able to assist with the maintenance of tools, equipment and machinery using
hand tools and comply with all health and safety requirements."
1176,"19: Assist with Preparing and Maintaining Livestock Accommodation",J/502/4108,2,13,"BTEC Lower",1,"Level 1",,"The learner will be able to assist with preparing livestock accommodation, including any
required cleaning to appropriate hygiene levels, providing bedding or other necessary
requirements and at all times meeting the requirements of healthy and safe working. All work
will take place in a supervised context."
1177,"21: Farm Animal Health",L/502/4546,4,13,"BTEC Lower",1,"Level 1",,"The learner will develop skills that are required on a daily basis on livestock farms through a
range of tasks associated with observation, safe handling, moving and treatment of farm animals
as well as basic recording for legislative and management purposes. In this unit, use of the term
‘farm animals’ relates to cattle or sheep or pigs"
1178,"25: Assist with the Maintenance of Grass Surfaces",D/502/4177,3,13,"BTEC Lower",1,"Level 1",,"This unit aims to give the learner the skills required to assist in the maintenance of grass
surfaces by mowing, edging and watering; using pedestrian operated machinery and hand tools,
and comply with all health and safety requirements."
1179,"27: Assist with Planting and Establishing Plants",F/502/4088,3,13,"BTEC Lower",1,"Level 1",,"This unit requires learners to assist with the establishment of plants. Activities can take place in
nursery or amenity situations; outdoors or under protected conditions and must comply with
health and safety requirements."
1180,"37: Working in a Team",R/501/6058,3,13,"BTEC Lower",1,"Level 1",,"In this unit, learners will consider the advantages of team work. Learners will gain knowledge
of how to work positively as a team member by contributing to a team task and how to reflect
on the performance of a team."
1181,"31: Assist with Identifying the Presence of, and Controlling Common Pests and Diseases",M/502/4023,2,13,"BTEC Lower",1,"Level 1",,"Completion of this unit will enable the learner to assist with identifying and controlling pests
and diseases in intensive cropping situations. It may be carried out outdoors or in protected
environments."
1188,"15: Maintain the safety of Self and Others in the Workplace",R/600/0291,4,13,"BTEC Lower",1,"Level 1",,"This unit is designed to develop the knowledge, skills and understanding to ensure that health and safety becomes part of routine working practices; to build habits of  working with regard for personal safety and that of others, and if an emergency does occur to know what to do and who to report to. "
1189,"17: Assist with the Care of Animals",A/502/4588,2,13,"BTEC Lower",1,"Level 1",,"The learner will be able to assist with the care of animals, including monitoring the health and condition of the animals and providing feed and water. All work will take place in a supervised context and must meet appropriate health and safety requirements."
1190,"22: Assist with Feedstuffs for Small Animals","H/600/0473 ",2,13,"BTEC Lower",1,"Level 1",,"The learner will be able to receive, store and prepare animal feedstuffs and comply with the health and safety requirement. "
1191,"23: Assist with Animal Accommodation",R/600/0470,2,13,"BTEC Lower",1,"Level 1",,"The learner will be able to assist with preparing and cleaning animal accommodation and comply with health and safety requirements. "
1192,"39: Preparing for an Interview",H/501/5917,1,13,"BTEC Lower",1,"Level 1",,"This unit focuses on the role of the learner in correctly anticipating and preparing key information, questions and answers for a potential interview. "
1193,"40: Interview Skills",L/501/5913,1,13,"BTEC Lower",1,"Level 1",,"This unit will help learners develop the skills to undertake an interview. Learners will be also equipped with skills to evaluate their performance after an interview."
1194,"20: Assist with Preparation and the Monitoring of Livestock Outdoors","Y/502/4601 ",2,13,"BTEC Lower",1,"Level 1",,"The learner will be able to assist with preparing outdoor sites to receive livestock, including providing water and checking the condition of feed if necessary. Monitoring of the condition of boundaries is also required. All work will take place in a supervised context and must meet appropriate health and safety requirements."
1195,"34: Assist with Feeding and Watering Horses","A/600/0463 ",2,13,"BTEC Lower",1,"Level 1",,"This unit provides the learner with the basic skills required for providing routine feeding and watering to individual and groups of horses, working in supervised environments."
1196,"35: Assist with the Preparation for Exercise and Aftercare of Horses",K/502/5168,6,13,"BTEC Lower",1,"Level 1",,"This unit involves the general daily care and hygiene of the stable kept horses which includes the care of materials used for bedding horses. This unit also covers 
assisting with grooming horses, putting on and removing horse clothing, putting on and removing tack and cleaning tack."
1197,"36: Maintain the Health of Horses",J/502/5176,6,13,"BTEC Lower",1,"Level 1",,"This unit enables learners to assist in dealing with general health problems associated with everyday care of the horse in the stable and kept out at grass"
1198,"24: Assist with the Movement and Handling of Small Animals",T/502/5710,1,13,"BTEC Lower",1,"Level 1",,"The learner will be able to assist with the movement and handling of animals and 
comply with health and safety requirements."
619,"10: Managing Own Money",R/502/0479,2,2,BTEC,-1,,,
620,"12: Healthy Lifestyles",T/600/3135,1,2,BTEC,-1,,,
621,"13: Managing Personal Risk",F/600/3137,1,2,BTEC,-1,,,
984,"Unit 5: Managing Social Relationships",D/502/0470,2,13,"BTEC Lower",1,"Level 1",,"The aim of this unit is to encourage learners to use appropriate behaviours when interacting with
others in social situations."
74,"1: Undertake Work Related Experience in the Land-based Industries",H/600/9335,10,2,BTEC,-1,,,
158,"2: Maintain Animal Accommodation",Y/600/9333,5,2,BTEC,2,"Level 2",,"This unit aims to provide learners with an understanding of the principles of animal accommodation and how
these can be applied in practice. This unit is primarily aimed at learners within a centre-based setting looking
to progress into the sector or further education and training."
159,"3: Undertake Practical Animal Feeding",T/600/9324,5,2,BTEC,2,"Level 2",,"This unit aims to provide learners with the skills required to undertake practical animal feeding. This unit is
primarily aimed at learners within a centre-based setting looking to progress into the sector or to further
education and training."
160,"4: Maintain Animal Health and Welfare",L/600/9314,10,2,BTEC,2,"Level 2",,"This unit aims to introduce learners to the skills and knowledge associated with animal health and welfare and
how these can be applied in practice. It is designed for learners in centre-based settings looking to progress
into the sector or onto further/higher education.
On successful completion of this unit, learners will be able to maintain the health and welfare of a range of
animals. This includes identifying any signs of ill health, or signs that would suggest impending problems, and
how to follow these through and fully support and monitor the animal’s recovery. Learners will explore animal
welfare and promote good welfare standards in day-to-day situations."
161,"6: Introduction to the Principles and Practices of Animal Behaviour and Handling",L/600/9345,10,2,BTEC,2,"Level 2",,"This unit aims to provide learners with an understanding of the principles of animal behaviour and handling
and how these can be applied in practice. This unit is primarily aimed at learners within a centre-based setting
looking to progress into the sector or to further education and training."
162,"7: Understand the Principles of Animal Biology ",T/600/9341,10,2,BTEC,2,"Level 2",,"This unit aims to provide learners with an understanding of the principles of animal biology. This unit is
primarily aimed at learners within a centre-based setting looking to progress into the sector or further
education and training."
163,"12: Understand the Principles and Practices of Animal Establishments ",H/600/9349,10,2,BTEC,2,"Level 2",,"This unit aims to provide learners with an understanding of the principles of animal establishments and how
these can be applied in practice. This unit is primarily aimed at learners within a centre-based setting looking
to progress into the sector or further education and training."
726,"11: Introduction to Animal Breeds and Grooming",D/600/9351,10,2,BTEC,2,"Level 2",,"This unit aims to provide learners with an understanding of the principles animal breeds and grooming and
how these can be applied in practice. This unit is primarily aimed at learners within a centre-based setting
looking to progress into the sector or further education and training."
138,"2: Carry Out and Understand the Principles of Feeding and Watering Horses",D/601/0306,5,2,BTEC,-1,,,
139,"3: Undertake Routine Stable Duties",L/601/0365,10,2,BTEC,-1,,,
140,"4: Undertake Horse Handling",T/601/0313,5,2,BTEC,-1,,,
143,"13: Introduction to Riding Horses on the Flat",J/601/0333,10,2,BTEC,-1,,,
144,"15: Understand the Principles of Horse Biology",M/601/0309,10,2,BTEC,-1,,,
654,"5: Fit and Maintain Horse Tack and Clothing",T/601/0327,10,2,BTEC,-1,,,
1152,"Undertake Horse Grooming, trimming and plaiting",H/601/0310,5,2,BTEC,2,"Level 2",,
1153,"Unit 10. Introduction to the Principles of Horse Behaviour and Welfare",T/601/0375,5,2,BTEC,2,"Level 2",,
271,"1: Understand the Basic Principles of Plant Science",T/600/9808,5,2,BTEC,-1,,,
272,"2: Understand the Basic Principles of Soil Science",H/600/9819,5,2,BTEC,-1,,,
273,"4: Undertake Work Related Experience in the Land-based Industries",H/600/9335,10,2,BTEC,-1,,,
274,"5: Establish and Maintain Plants Outdoors",T/600/9968,10,2,BTEC,-1,,,
275,"11: Undertake Nursery Stock Production",L/600/9913,10,2,BTEC,-1,,,
276,"15: Introduction to Land-based Machinery Operation",T/600/9596,10,2,BTEC,-1,,,
576,"16: Understand the Principles of Sports and Amenity Turf Maintenance",K/600/9854,10,2,BTEC,-1,,,
323,"1: Fitness Testing and Training",R/502/5410,5,2,BTEC,-1,,,
324,"2: Practical Sport",D/502/5412,10,2,BTEC,-1,,,
325,"4: Anatomy and Physiology for Sport",D/502/5474,5,2,BTEC,-1,,,
326,"7: Planning and Leading Sports Activities",T/502/5481,10,2,BTEC,-1,,,"Dave Randall"
327,"8: Technical Skills and Tactical Awareness for Sport",H/502/5492,10,2,BTEC,-1,,,
328,"11: Development of Personal Fitness",F/600/2831,5,2,BTEC,-1,,,
329,"18: Effects of Exercise on the Body Systems",J/600/2832,5,2,BTEC,-1,,,
330,"20: Planning and Running a Sports Event",H/502/5542,10,2,BTEC,-1,,,
59,"1: Public Service Skills",H/600/5267,10,2,BTEC,-1,,,
60,"4: Career Planning for the Public Services",H/600/5351,5,2,BTEC,-1,,,
61,"5: Improving Health and Fitness for Entry to the Uniformed Public Services",M/600/5353,10,2,BTEC,-1,,,
62,"2: Employment in the Uniformed Public Services",M/600/5384,5,2,BTEC,-1,,,
63,"8: Adventurous Activities and Teamwork for the Public Services",R6005359,10,2,BTEC,-1,,,
64,"10: Land Navigation by Map and Compass",L/600/5361,10,2,BTEC,-1,,,
65,"15: Expedition Skills in Public Services",M/600/5370,10,2,BTEC,-1,,,
548,"Expediton Skills in Public Services","Unit 15",10,2,BTEC,-1,,,
547,"Land Navigation by Map and Compass","Unit 10",10,2,BTEC,-1,,,
56,"1: Communicating in the IT Industry*",K/601/3192,5,2,BTEC,-1,,,
57,"2: Working in the IT Industry",J/601/3202,5,2,BTEC,-1,,,
58,"3: Computer Systems",H/601/3255,10,2,BTEC,-1,,,
609,"10: Setting up an IT Network",M/601/3274,10,2,BTEC,-1,,,
610,"17: Website Development",A/601/3245,10,2,BTEC,-1,,,
611,"18: Software Design",T/601/5110,10,2,BTEC,-1,,,
612,"25: Home Entertainment Systems",F/601/3294,10,2,BTEC,-1,,,
66,"1: Contextual References in Art and Design",J/502/4819,10,2,BTEC,-1,,,
67,"2: 2D Visual Communication",L/502/4823,5,2,BTEC,-1,,,
68,"3: 3D Visual Communication",R/502/4824,5,2,BTEC,-1,,,
69,"4: Using Ideas to Explore, Develop and Produce Art and Design",Y/502/4825,10,2,BTEC,-1,,,
70,"5: Building an Art and Design Portfolio",H/502/4875,5,2,BTEC,-1,,,
71,"6: Working in the Art and Design Industry",K/502/4876,5,2,BTEC,-1,,,
72,"7: Working with Graphic Design Briefs",D/502/4826,10,2,BTEC,-1,,,
655,"17: Working With Moving Image Briefs",L/502/4871,10,2,BTEC,-1,,,
73,"10: Working with Textiles Briefs",H/502/4861,10,2,BTEC,2,"Level 2",,
75,"2: Environmental and Land-based Business",F/600/9357,10,2,BTEC,-1,,,
76,"3: Introduction to Crop Establishment",D/600/9382,10,2,BTEC,-1,,,
632,"Participate in Providing Estate Maintenance",Y/600/9364,10,2,BTEC,-1,,,
1096,"Introduction to Animal and Plant Husbandry",K/600/9403,10,2,BTEC,2,"Level 2",,
583,"Undertake Agricultural Livestock Production",A/600/9129,10,2,BTEC,-1,,,
