CriteriaID,Name,Details,Type,UnitID,ParentCriteriaID
6707,P9,"Clean work surfaces, utensils and
equipment effectively before and after use",,552,
6708,P10,"Identify the type and quantity of animal
feed required for each animal from
feeding plans",,552,
6709,P11,"Prepare the required amount of two types
of animal feed according to instructions in
a way that minimises wastage
",,552,
6710,P12,"Use the appropriate utensils in a hygienic
way according to instructions",,552,
6711,P13,"Work in a healthy and safe way that
complies with legislation",,552,
6712,P14,"Dispose of any stale and unusable animal
feed in a safe place and put equipment
and utensils away safely",,552,
6722,P1,"Prepare the necessary equipment and
materials and maintain them ready for use",,554,
6723,P2,"Carry out cleaning routines in accordance
with instructions
",,554,
6724,P3,"Replace any ancillary materials and
fittings when cleaning is complete in
accordance with instructions",,554,
6725,P4,"Prepare accommodation so that it is safe,
healthy and secure for livestock in
accordance with instructions",,554,
6726,P5,"Ensure an adequate supply of clean,
uncontaminated water is available",,554,
6727,P6,"Maintain accommodation in a healthy,
safe and clean condition for livestock in
accordance with instructions",,554,
6728,P7,"Adjust and replenish materials and
supplies required by livestock as
instructed",,554,
6729,P8,"Monitor the health and wellbeing of
livestock throughout operations",,554,
6730,P9,"Report any changes in the behaviour or
condition of livestock to the appropriate
person",,554,
6731,P10,"Clean and maintain equipment in a fit
state for use and store safely and securely
in an appropriate storage area",,554,
6732,P11,"Dispose of waste in a safe manner and
place in accordance with instruction",,554,
6733,P12,"Identify hazards correctly and report them
to the appropriate person",,554,
6734,P13,"Maintain the health and safety of yourself
and others throughout the process",,554,
6735,P1,"Ensure the quantity and suitability of feed
and water are appropriate for livestock
requirements in accordance with
instructions",,555,
6736,P2,"Confirm boundaries as being safe and
secure",,555,
6737,P3,"Take the appropriate action where there
are problems with the boundaries
",,555,
6738,P4,"Report to the appropriate person potential hazards to livestock",,555,
6739,P5,"Assist with introduction of livestock to
the outdoor site safely and correctly in
accordance with instructions",,555,
6740,P6,"Monitor the condition and number of the
livestock in accordance with instructions,
and report any changes to the appropriate
person",,555,
6741,P7,"Monitor the site and its boundaries to
confirm their continuing suitability",,555,
6742,P8,"Adjust the quality and quantity of feed
and water in accordance with instructions",,555,
6743,P9,"Accurately identify any problems with the
site and report them to the appropriate
person",,555,
6744,P10,"Maintain the health and safety of self and
others throughout operations",,555,
6757,P1,"Feed horses according to instructions, to
include both forage and concentrate",,557,
6758,P2,"Supply horses with water using the
correct sources, system and quantities",,557,
6759,P3,"Report any changes in the feeding and
drinking habits of horses to the
appropriate person",,557,
6760,P4,"Clean and replace equipment, ensuring it
is ready for use",,557,
6761,P5,"Dispose of waste from feeding safely and
correctly",,557,
6762,P6,"Maintain the health and safety of horses,
self and others",,557,
6763,P7,"Correctly identify and report any hazards
to the appropriate person",,557,
6764,P1,"Muck out stables",,558,
6765,P2,"Bed down stables",,558,
6766,P3,"Maintain bedding for a stable kept horse",,558,
6767,P4,"State the reasons for providing bedding in
a stable",,558,
6768,P5,"List the different types of bedding in
common use and the requirements of
good quality bedding",,558,
6769,P6,"State the daily maintenance requirement
for the muck heap and storage area",,558,
6770,P7,"Groom a horse in preparation for ridden
work",,558,
6771,P8,"Care for the horse following ridden work",,558,
6772,P9,"State the reasons for grooming horses",,558,
6773,P10,"State the required safety procedures to be
adhered to when grooming horses",,558,
6774,P11,"Put on stable and outdoor rugs",,558,
6775,P12,"Remove stable and outdoor rugs",,558,
6776,P13,"Clean stable and outdoor rugs",,558,
6777,P14,"State the purpose of different types of
rugs in common use",,558,
6778,P15,"State the maintenance requirements for
rugs in daily use",,558,
6779,P16,"State the required safety procedures to be
adhered to when putting rugs on and
removing rugs from horses",,558,
7762,P17,"Tack up horses for ridden work",,558,
7763,P18,"Un-tack horses following ridden work",,558,
7764,P19,"Identify parts of a saddle and bridle",,558,
7765,P20,"Identify nosebands in common use",,558,
7822,P21,"Take apart and clean a bridle",,558,
7823,P22,"Take apart and clean a saddle",,558,
7824,P23,"Re assemble a bridle and a saddle",,558,
7825,P24,"List the reasons for cleaning tack",,558,
7826,P25,"State the cleaning requirements of leather
and synthetic materials",,558,
7827,P26,"State the required safety checks for
bridles and saddles",,558,
7828,P27,"State the care requirements for different
types of girths",,558,
6780,P1,"Identify signs of good health",,559,
6781,P2,"Recognise signs of poor health",,559,
6782,P3,"State normal temperature, pulse and
respiration",,559,
6783,P4,"State the normal expectation of coat and
skin condition, feeding habits and weight",,559,
6784,P5,"State how to physically examine the horse
for warmth",,559,
6785,P6,"List the factors that can influence the
condition and health of horses",,559,
6786,P7,"List the content of a medicine cupboard",,559,
6787,P8,"Prepare a stable for a sick horse",,559,
6788,P9,"List the principles for caring for a sick
horse",,559,
6789,P10,"State the significance of a horse’s body
temperature",,559,
6790,P11,"State the need for regular checks and
monitoring",,559,
6791,P12,"Check a horse for injury",,559,
6792,P13,"Identify possible sites of injury",,559,
6793,P14,"Identify common ailments",,559,
6794,P15,"Describe the types, causes and basic
treatment of wounds",,559,
6795,P16,"State the commonly found skin conditions
in horses",,559,
8899,P17,"State the recording requirments as part of monitoring progress and health",,559,
8900,P18,"State when to call the vet",,559,
8901,P19,"Put on equipment to move the horse in hand",,559,
8902,P20,"Walk,trot and turn a horse in hand",,559,
8903,P21,"Turn a horse out into an enclosed space",,559,
8904,P22,"List safety considerations to be taken into account when moving and turning a horse out into an enclosed space",,559,
6682,P1,"Identify the main tasks and activities
associated with the job role or placement
or areas of learning to be covered in the
course",,550,
6683,P2,"With support, prepare brief answers to a
given set of questions that are likely to be
asked at the interview",,550,
6684,P3,"Identify from information provided to
them, the time and place where the
interview will be held",,550,
6685,P4,"With support, identify the route and
means of transport which they plan to take",,550,
6841,P1,"Dress appropriately and display an
appropriate level of personal hygiene for
the interview",,563,
6842,P2,"Use appropriate means of non-verbal
communication such as body language
and facial expressions",,563,
6843,P3,"Give clear, straightforward answers to the
questions asked",,563,
6844,P4,"Identify one aspect of the interview that
went well and one that did not",,563,
6845,P1,"Explain how and why they need to
manage themselves in the workplace",,564,
6846,P2,"Explain how appropriate selfmanagement
benefits themselves, their
colleagues and their employer",,564,
6847,P3,"Produce a plan for a working day",,564,
6848,P4,"Structure appropriate breaks during their
working day",,564,
6849,P5,"Agree and prioritise work appropriately to
achieve their daily objectives",,564,
6850,P6,"Analyse their self-management skills",,564,
6851,P7,"Suggest areas for improvement",,564,
6796,P1,"Explain the advantages and disadvantages
of having a team complete a task",,560,
6797,P2,"Identify a code of conduct for effective
team work",,560,
6798,P3,"Explain the likely consequences of team
members not following a code of conduct",,560,
6799,P4,"Explain their own strengths, skills and
experiences, as relevant to a task being
undertaken by a team",,560,
6800,P5,"Identify some relevant strengths, skills
and experiences that other members bring
to a particular team",,560,
6801,P6,"Agree with other team members the roles
and responsibilities of each member of the
team",,560,
6802,P7,"Explain how each role contributes to the
team’s objectives and the completion of
the team task",,560,
6803,P8,"Describe ways in which respect was
shown for the ideas and suggestions of
others",,560,
6804,P9,"Identify relevant ideas and suggestions
which were given and which helped the
team to complete their task",,560,
6805,P10,"Describe ways in which help, support or
advice was given to team members where
appropriate",,560,
6806,P11,"Explain why it is important to respond
positively to advice or constructive
criticism",,560,
6807,P12,"Complete tasks allocated to the required
standard and on time",,560,
6808,P13,"Discuss how their individual performance
contributed to the overall performance of
the team",,560,
6809,P14,"Outline ways in which the team as a
whole performed effectively",,560,
6810,P15,"Outline areas in which the team could
improve its teamwork skills",,560,
6666,P1,"Give two examples of current health and
safety legislation and outline one
responsibility for each that applies to own
area of work",,549,
6667,P2,"Identify who accidents, incidents or
problems should be reported to in own
area of work and why this is necessary",,549,
6668,P3,"Give at least three examples of specific
hazards in own work situation",,549,
6669,P4,"Identify who else might be affected by the
hazards",,549,
6670,P5,"Outline what measures could be taken in
own work situation to eliminate hazards
or reduce the chance of them causing
harm",,549,
6671,P6,"Select and wear appropriate protective
clothing",,549,
6672,P7,"Clean and tidy the work area before
starting work, taking immediate steps to
reduce any hazards if identified",,549,
6673,P8,"Select and organise tools, materials and
equipment before use",,549,
6674,P9,"Follow guidance/instructions to warn
others that work is about to start and of
any hazards this may cause",,549,
6675,P10,"Follow safety procedures and/or training
to ensure the health and safety of self and
others",,549,
6676,P11,"Prepare and use equipment and/or
materials safely and correctly as
instructed",,549,
6677,P12,"Demonstrate safe lifting and handling
techniques and use of handling equipment
if appropriate",,549,
6678,P13,"Follow guidance/instructions to minimise
environmental damage during work",,549,
6679,P14,"Clear and tidy the work area after use",,549,
6680,P15,"Dispose of waste safely and correctly in a
designated area as directed",,549,
6681,P16,"Clean and store tools, equipment and PPE
after use as directed",,549,
8934,P1,"Approach the animals calmly, confidently
and in a way that is likely to minimise
stress",,732,
8935,P2,"Assist with moving animals in accordance
with instructions",,732,
8936,P3,"Assist with moving animals without
damage to the health, safety and
wellbeing of the animal or self",,732,
8937,P4,"Help to settle the animals in the new
location in accordance with instructions",,732,
8938,P5,"Maintain health and safety, and the
welfare of the animals, during their work",,732,
8939,P6,"Approach animals in accordance with
instructions",,732,
8940,P7,"Handle animals in a manner likely to
promote their co-operation and minimise
the possibility of distress",,732,
8941,P8,"Handle animals in a manner that
minimises the possibility of risk to the
health and safety of the animal, self and
other animals and people in the
environment",,732,
8942,P9,"Monitor the animal’s behaviour and its
response to handling and report any
problems to the appropriate person
without delay",,732,
8943,P10,"Use handling methods, which promote
health and safety and are consistent with
relevant legislation and codes of practice",,732,
6315,P1,1.1,,527,
6316,P2,1.2,,527,
6317,P3,1.3,,527,
6318,P4,2.1,,527,
6319,P5,2.2,,527,
6310,P1,1.1,,526,
6311,P2,1.2,,526,
6312,P3,2.1,,526,
6313,P4,3.1,,526,
6314,P5,4.1,,526,
6297,P1,1.1,,524,
6298,P2,2.1,,524,
6299,P3,3.1,,524,
6300,P4,3.2,,524,
6301,P5,4.1,,524,
6302,P6,4.2,,524,
6303,P7,5.1,,524,
6262,P1,1.1,,517,
6263,P2,2.1,,517,
6264,P3,3.1,,517,
6265,P4,3.2,,517,
6281,P1,1.1,,521,
6282,P2,1.2,,521,
6283,P3,2.1,,521,
6284,P4,3.1,,521,
6268,P1,1.1,,518,
6269,P2,2.1,,518,
6270,P3,3.1,,518,
6290,P1,1.1,,523,
6291,P2,1.2,,523,
6292,P3,2.1,,523,
6293,P4,2.2,,523,
6294,P5,3.1,,523,
6295,P6,4.1,,523,
6296,P7,4.2,,523,
6271,P1,1.1,,519,
6272,P2,1.2,,519,
6273,P3,2.1,,519,
6274,P4,2.2,,519,
6275,P5,3.1,,519,
6276,P6,3.2,,519,
6304,P1,1.1,,525,
6305,P2,1.2,,525,
6306,P3,2.1,,525,
6307,P4,2.2,,525,
6308,P5,3.1,,525,
6309,P6,3.2,,525,
6285,P1,1.1,,522,
6286,P2,1.2,,522,
6287,P3,2.1,,522,
6288,P4,3.1,,522,
6289,P5,4.1,,522,
6852,P1,"1.1 Identify factors that can affect health and wellbing",,565,
6853,P2,"1.2 Describe methods used to improve health and wellbeing",,565,
6854,P3,"2.1 Describe fitness levels required for a chosen public service",,565,
6855,P4,"3.1 Establish own levels of fitness through participation in a fitness test",,565,
6856,P1,"1.1 List different types of public services",,566,
6857,P2,"1.2 Describe different public services roles",,566,
6858,P3,"2.1Discuss different jobs in a chosen public services",,566,
6859,P4,"2.2 Explain the entry requirements for a chosen public services job",,566,
6860,P5,"3.1 Produce an action plan for entry into a chosen public service",,566,
6861,P1,"1.1 Describe components of health improvement",,567,
6862,P2,"1.2 State the purpose of fitness tests in the unformed public services",,567,
6863,P3,"2.1 Plan a personal health improvement programme based on the outcome of a fitness test",,567,
6864,P4,"2.2 Participate in a personal health improvement programme",,567,
6865,P5,"3.1 Participate in fitness tests",,567,
6866,P6,"3.2 Identify areas to develop fitness",,567,
6867,P7,"4.1 Present the outcome of a fitness test",,567,
6900,P1,"1.1 List the characteristics of an effective team ",,571,
6901,P2,"1.2 Identify own team skills",,571,
6902,P3,"2.1 Outline the importance of teamwork in the public services",,571,
6903,P4,"2.2 List ways in which teamwork benefits the public services",,571,
6904,P5,"3.1 Explain with examples the types of teams that exist in the public services",,571,
6905,P6,"4.1 Demonstrate characteristics of effective team members",,571,
6906,P7,"Complete agreed tasks according to a given brief",,571,
6868,P1,"1.1 Describe, using examples, the main types of communication skills used by the public services",,568,
6869,P2,"1.2 Outline the need for good interpersonal skills in the public services",,568,
6870,P3,"2.1 Explain how effective time management skills can assist with specific public services issues",,568,
6871,P4,"3.1 Present infromation clearly and in an appropriate language",,568,
6872,P5,"3.2 Present information in a logical sequence",,568,
6873,P6,"3.3 Use interpersonal skills in a given situation",,568,
6884,P1,"1.1 Identify security threats",,569,
6885,P2,"1.2 Describe the potential consequences of failures in security",,569,
6886,P3,"2.1 Identify job roles of people engaged in security duties in the public services",,569,
6887,P4,"2.2 Describe skills and qualities required of a person working in security duties in the public services",,569,
6888,P5,"3.1 Describe measures that are used to maintain the security of people, information, premises and property",,569,
6889,P6,"4.1 Identify the reason for conducting searches",,569,
6890,P7,"4.2 Demonstrate a search uing a method that is thorough, systematic, safe and legal",,569,
6891,P1,"1.1 State the use of scale on an Ordnance Survey map",,570,
6892,P2,"1.2 Identify the meaning of four conventional signs on an Ordnance Survey map",,570,
6893,P3,"2.1 State the use of contour lines on an Ordnance Survey map",,570,
6894,P4,"2.1 State the use of the grid referencing system used on Ordnance Survey maps",,570,
6895,P5,"2.2 Demonstrate the use of the grid referencing system to locate a point on an Ordnance Survey map",,570,
6896,P6,"2.3 Calculate the distance between the start and finish points of a designated route",,570,
6897,P7,"3.1 Demonstrate how to relate visual geographical features to an Ordnance Survey map",,570,
6898,P8,"3.2 Demonstrate how to set a map to ground to identify north without a compass",,570,
6899,P9,"3.3 State how to estimate the time required to complete a designated route",,570,
6907,P1,"1.1 Explain factors involved in public services incidents",,572,
6908,P2,"1.2 Assess the impact of factors involved in public services incidents",,572,
6909,P3,"2.1 Outline the key operational response public service personnel",,572,
6910,P4,"2.2 Identify equipment that allows public service personnel to incidents",,572,
6911,P5,"3.1 Describe command and control systems used in the public services",,572,
6912,P6,"4.1 Maintain health and safey",,572,
6913,P7,"4.2 Respond to superiors
",,572,
6914,P8,"4.3 Contribute ideas",,572,
6915,P9,"4.4 Help other team members",,572,
6916,P10,"4.5 Complete all set tasks",,572,
6917,P1,"1.1 Work as part of a team to plan for a chosen event to meet customer requirements",,573,
6918,P2,"2.1 Participate in the organisation of a chosen event",,573,
6919,P3,"2.2 Identify risks",,573,
6920,P4,"3.1 Contribute to the running of a chosen event",,573,
6921,P5,"4.1 Review the event using feedback received",,573,
6922,P6,"4.2 Outline the success of the event against the original plan",,573,
6923,P1,"1.1 Identify the skills required for a day\'s expedition",,574,
6924,P2,"1.2 Explain the benefits of expedition skills within the public service",,574,
6925,P3,"2.1 Describe the considerations for palnning an expedition",,574,
6926,P4,"2.2 List the equipment required for a day expedition",,574,
6927,P5,"2.3 List the safety requirements for an expedition",,574,
6928,P6,"2.4 Describe the environmental issues to be considered on your expedition",,574,
6929,P7,"3.1 Plan a route for an expedition",,574,
6930,P8,"3.2 On the expedition demonstrate the following: 
Wear kit to ensure own safety
Take suitable equipment for the expedition
Follow instructions
Work as a team in a positive manner
Take part in a planned expedition",,574,
6931,P9,"4.1 Review the expedition with constructive feedback from peers and staff",,574,
6932,P10,"4.2 Make recommendations for future planned expeditions",,574,
6933,P1,"1.1 Identify different types of leadership",,575,
6934,P2,"1.2 Outline the main features of leadership",,575,
6935,P3,"2.1 Identify a decision that needs to be made about a task or situation",,575,
6936,P4,"2.2 Describe the step or steps needed to make the decision",,575,
6937,P5,"3.1 Identify the instructions needed for members of a group to carry out an aspect of their tasks or activities",,575,
6938,P6,"3.2 Give instructions to group members",,575,
6939,P7,"4.1 Give examples of when they gave feedback about a task or activity to another group member",,575,
6940,P8,"4.2 Give examples of when they received feedback about a task or activity from another group member",,575,
13057,P1,"Be able to assist
with monitoring
and caring for the
health and
wellbeing of
animals",,1104,
13065,P2,"Be able to assist
with providing food
and water for
animals",,1104,
7219,P1,"Identify the purpose for using IT",,593,
7220,P2,"Identify the methods, skills and
resources required to complete the
task successfully",,593,
7221,P3,"Plan how to carry out the task using
IT to achieve the required purpose
and outcome",,593,
7222,P4,"Identify reasons for choosing
particular IT systems and software
applications for the task",,593,
7223,P5,"Identify any legal or local guidelines
or constraints that may affect the task
or activity",,593,
7224,P6,"Select IT systems and software
applications as appropriate for the
purpose",,593,
7225,P7,"Identify automated routines to
improve productivity",,593,
7226,P8,"Use automated routines that aid
efficient processing or presentation",,593,
7227,P9,"Complete planned tasks using IT",,593,
7228,P10,"Review outcomes to make sure they
meet the requirements of the task
and are fit for purpose",,593,
7229,P11,"Decide whether the IT tools selected
were appropriate for the task and
purpose",,593,
7230,P12,"Identify the strengths and
weaknesses of the completed task",,593,
7231,P13,"Identify ways to make further
improvements to work",,593,
7232,P1,"Use correct procedures to start and shut down an IT system",,594,
7233,P2,"Use interface features effectively to
interact with IT systems",,594,
7234,P3,"Adjust system settings to meet
individual needs",,594,
7235,P4,"Use a communication service to access the internet",,594,
7236,P5,"Use appropriate terminology when
describing IT systems",,594,
7237,P6,"Work with files and folders so that it is
easy to find and retrieve information",,594,
7238,P7,"Organise and store information, using
general and local conventions where
appropriate",,594,
7239,P8,"Identify what storage media to use",,594,
7240,P9,"Work safely and take steps to
minimise physical stress",,594,
7241,P10,"Recognise the danger of computer
viruses and identify ways to minimise risk",,594,
7242,P11,"Keep information secure",,594,
7243,P12,"Recognise why it is important to stay
safe and to respect others when using IT-based communication",,594,
7244,P13,"Follow relevant guidelines and
procedures for the safe and secure use of IT",,594,
7245,P14,"Recognise why routine maintenance
of hardware is important and when to carry it out",,594,
7246,P15,"Be aware of where to get expert advice",,594,
7247,P16,"Carry out regular routine maintenance
of hardware and software safely",,594,
7248,P17,"Take appropriate action to handle
routine IT problems",,594,
7260,P1,"Identify different software applications
and give examples of their use",,596,
