id,fullname,shortname,idnumber
19258,"[B323-14] - L3 Extended Diploma Agriculture","L3 Extended Diploma Agriculture (14)",B323-14
7874,"Plumbing Full Time Level 2",PlumbLv2,
56,"Foundation Degree Sustainable Construction Year 1","FD Sustainable Construction YR1",X_FD_Sust_Const
10691,"Practical Gardening",B838,
57,"First Dip (Level 2) - Travel and Tourism",X_FirstDipL2,X_FirstDipL2
58,"Foundation Diploma in Art & Design (3D Design Pathway)",X_FSArtDgn_3DDesign,X_FSArtDgn_3DDesign
59,"Foundation Diploma in Art & Design: Fine Art",X_FSArtDgn_FineArt,X_FSArtDgn_FineArt
60,"GCSE Psychology","X_GCSE Psychology",X_gcse_psychology
61,"HNC/HND in Business",X_H322,X_H322
62,"[H647] - Level 2 Diploma in Sport","Level 2 Diploma in Sport",H647
10833,"IT Apprenticeships",ITApps,
10480,"Level 3 Extended Diploma in Sport (Year 1)","H649 (13)",
10780,"Level 1 Professional Cookery 7100-81",H657,
7885,"CMI Diploma in Management and Leadership L5","CMI Dip5",CMIDip5
7804,"CPCAB Level 4 Diploma in Therapeutic Counselling Year 2",CPCABLv4Yr2,
64,"HND/HNC 3D Design",X_HEAD_3DDesign,X_HEAD_3DDesign
65,"HND/HNC Fine Art",X_HEAD_FineArt,X_HEAD_FineArt
66,"HND/HNC Graphic Design",X_HEAD_GraphicDesign,X_HEAD_GraphicDesign
73,"Beauty Therapy","Beauty Therapy",X_J005
74,"Holistics for Level 3","Holistics for Level 3",J528
10743,"C&G 6139 Plumbing Technical Certificate L3 Eve",C409Eve,
10709,"Introduction to Counselling",K475,
10755,"Ascentis 14+",Ascentis14+,
75,"Anatomy and Physiology For Level 3","Anatomy and Physiology For Level 3","J692 & J700 &J768"
76,"BTEC EXTENDED  DIPLOMA IN HEALTH AND SOCIAL CARE YR 2","BTEC Extdip H&SC","K1005 (09)"
4018,"Student Services &gt; Staff","Student Services &gt; Staff",SS-Staff
4020,Enrichment,Enrichment,Enrichment
18467,"Ascentis Enironmental Sustainability Level 2","Ascentis Enironmental Sustainability Level 2",
14756,"[K1255] - Level 3 Certificate in Supporting Teaching and Learning in Schools","Level 3 Certificate in Supporting Teaching and Learning in Schools",K1255
14757,"[K1389] Level 3 Award in Supporting Teaching and Learning in Schools (College based)","Level 3 Award in Supporting Teaching and Learning in Schools (College based)",
10697,"RHS - Certificate in the principles of PLANT Growth, Health and Applied Propogation (L3 - Day)","B792 - Day",
10698,"RHS - Certificate in the principles of Garden Planning, Establishment and Maintenance (L2 - Day)","B790 - Day",
7886,"BTEC Construction and the Built Environment Diploma",BTECCF101,CF101
4021,"Student Services &gt; Student Council","Student Services &gt; Student Council",StudentCouncil
4022,"GCSE English",GCSEEng,
4025,"Level 3 Diploma & Extended Diploma in Sport (Year 2)","H648 & H649 (Yr2)","H648/H649 (Yr2)"
4027,"Motor Cycle Evenings 09/10",MoCyEve,
4032,"D596:Light Vehicle Level 2",D596:LigVehLev2,
4033,"Body and Paint Level 2",D850:BodPainLev2,
4034,"D688/D820: Light Vehicle Level 1",LighVehLev1,
4035,"Light Vehicle Level 2",D688/820:LighVehLev2,
4036,"D911:Motorcycle Level 1",D911:MotCynLv1,
4037,"D582:Motorcycle Level 2",D582:MotoCyLev2,
4038,"D661/D662:Re Finishing",D661/662:Refin,
4039,"D663/D664:Paint/Body Level 3",D663/664:PainBodLev3,
4017,"Student Services &gt; Finance","Student Services &gt; Finance",SS-F
77,"Childrens Care, Learning & Development",X_K1008_09,X_K1008_09
78,"QCF Level 2 & Level 3 Diploma in Health & Social Care",X_K390S2,X_K390S2
79,"Foundation Degree Child and Adolescent Studies",FdCas,
8010,"Library - Shuttleworth",LibResShutt,
80,"NVQ Level 4 Health & Social Care & RMA","K 674 & K675","K674 & K675"
7800,"Sharing Best Practice at Bedford College","Sharing Best Practice",SharBestPrac
7801,"CPCAB Level 4 Diploma in Therapeutic Counselling Year 1",CPCABLv4,
7802,"CPCAB Level 2 Certificate in Counselling Skills",CPCABLv2,
7803,"CPCAB Level 3 Certificate  in Counselling Studies",CPCABLv3,
7805,"(14-16) Salon Services Certificate",J388,
7807,"Int - Hairdressing ",J444,
82,"CACHE Child Care and Education ACD level 3","CACHE Child Care and Education ACD level 3",X_K649
83,"NVQ Level 3 Health & Social Care",X_K937S2,X_K937S2
7837,"Level 2 Diploma Horse Care - Shuttleworth",B383,
7848,"National Award in Sport - Shuttleworth",NASFTS^09,
7849,"City & Guilds Level 2 Certificate in Floristry Part Time","NDF L2 PT YR1",
7850,"City & Guilds Level 2 Diploma in Floristry Full time","NDF L2 FT",
7851,"L3 B323-13 Extended Diploma Agriculture yr 1","L3 Extended Diploma Agriculture",B323-13
7824,"National Award Music Technology",L879,
7853,"Extended Diploma Animal Management Y1 - Shuttleworth","Extended Diploma Animal Management Y1 - Shuttleworth",
7854,"Extended Diploma Animal Management Y2 - Shuttleworth","Extended Diploma Animal Management Y2 - Shuttleworth",
10831,"A Level Physical Education",H1140,
14131,"PC Maintenance L1","PC Maintenance L1",F1769
14146,"Part time Circuit Construction [D1193]","Part Time Circuit Construction",D1193
14154,"Access Law","Access Law",
14158,"NVQ Hairdressing for Level 1","NVQ Hairdressing for Level 1",
86,"Foundation Degree Music Technology",X_L516,X_L516
88,"Nat Cert Mus Tech Yr2",X_L519,X_L519
10779,"Second Year BTEC Nationals for IT Practitioners",BTEC2ndIT,
7821,"NEET 4 SKILLS DEVELOPMENT (ESF)- TO  BE DELETED","E1620- TO  BE DELETED",
7860,"Shuttleworth Football Club",shufc08,
7861,"Student Health and Safety",StdHealSafe,
89,"BTEC National Diploma Performing Arts (Dance) Yr2 (OLD)","BTEC National Diploma Performing Arts (Dance) Yr2 (OLD)",X_L520
90,"BTEC National Diploma Performing Arts (Acting) Year 2 (OLD)","BTEC National Diploma Performing Arts (Acting) Year 2 (OLD)",X_L521
10493,"BTEC Extended Diploma Performing Arts (Dance) Yr1 (OLD)","BTEC Extended Diploma Performing Arts (Dance) Yr1 (OLD)",
18335,"[L520] - BTEC LEVEL 3 Performing Arts (Dance)","BTEC LEVEL 3 Performing Arts (Dance)",L520
18336,"[L1291]- BTEC Level 3 Performing Arts (Musical Theatre)","BTEC Level 3 Performing Arts (Musical Theatre)",L1291
18337,"[L522] - BTEC Level 3 Production Arts","BTEC Level 3 Production Arts",L522
18338,"[L1531] - BTEC Level 3 Production Arts (Make UP)","BTEC Level 3 Production Arts (Make UP)",L1531
18339,"[C898] - BTEC Level 2 in Construction","BTEC Level 2 in Construction",C898
92,"[L524] - BTEC Level 2 Diploma in Performing Arts Year 2","BTEC Level 2 Diploma in Performing Arts Year 2",X_L524
94,"AS Psychology",X_m342,X_m342
95,"AS Sociology ",X_m344,X_m344
96,"GCSE Sociology",X_M350,X_M350
97,"IMI Motor Cycle Level 2",X_MC_IML_L2,X_MC_IML_L2
99,"Motor Vehicle IMI Level 1",X_MV_IMI_L1,X_MV_IMI_L1
100,"Motor Vehicle IMI Level 2",X_MV_IMI_L2,X_MV_IMI_L2
101,"Motor Vehicle Level 3 Day Release",X_MV_L3_DR,X_MV_L3_DR
102,"A2 English Literature",X_N313,X_N313
18299,"L3 Music Y1",L3MusicY1,
103,"AS English Literature",AsEngLit,X_N324
105,"NCFE Level 2 Cabin Crew",X_NCFEL2CC,X_NCFEL2CC
7982,"C&G 2330 ELECTRO TECH CERT L3 ",C&GELECL3,
106,"NCFE Level 2 Aviation Operations on the Ground",X_NCFEL2PSA,X_NCFEL2PSA
107,"Extended Diploma Fine Art","Extended Diploma Fine Art","Extended Diploma Fine Art"
108,"Extended Diploma Graphic Design","Extended Diploma Graphic Design","Extended Diploma Graphic Design"
109,"Extended Diploma Fashion & Textiles",X_DArtDgn_Textiles,X_DArtDgn_Textiles
7795,"Carpentry and Joinery NVQ and Technical Certificate Level 3",CarpJoin3,
110,"Level 3 Extended Diploma - Creative Media Production",X_ND_Medi,X_ND_Medi
14034,"Numeracy Diploma","Numeracy Diploma - A611",A611
14035,"Child Care Level 3","Child Care Level 3 - K1341",K1341
14104,"[B414] - Level 3 Extended Diploma Sport (Outdoor Adventure) - Year 1","Level 3 Extended Diploma Sport (Outdoor Adventure) - Year 1",B414
14080,"L3 Music Technology Y2",L3MusicTechY2,
14081,"L3 Music Y2",L3Music,
14083,"L2 Music",L2Music,
112,"Painting and Decorating",X_paint_dec1,X_paint_dec1
115,"AS/A2 LAW",X_M338,X_M338
116,"AS Government and Politics",ASGovPol,X_M335
117,"BTEC Diploma Performing Arts (Production)",X_L022,X_L022
119,"GCSE Mathematics",X_A528,X_A528
122,"BTEC National Diploma in Business",X_E014,X_E014
124,"Engineering: PEO",X_Eng_PEO,X_Eng_PEO
125,"Practice Assessment Zone","Practice Assessment Zone",X_Assess_Con_Pr
126,"National Extended & Diploma  (Level 3) - Travel and Tourism",X_NatCertDipTT,X_NatCertDipTT
7863,"Foundation Skills Programme",X380,"X380 X424"
127,"Intro Dip (Level 1) - Travel and Tourism",X_IntroDip,X_IntroDip
128,"L2 Music Technology",X_L523,X_L523
10703,"L2 Agriculture 14-16",B798,
7820,"Functional Skills - Motor Vehicle",FuncMoto,
19742,"Level 1 Land Based Studies 14-16",B1137,
19743,"Level 2 Extended Certificate in Horse Care 14-16",B802,
7857,"[B414] - Level 3 Extended Diploma Sport (Outdoor Adventure) - Year 2","Level 3 Extended Diploma Sport (Outdoor Adventure) - Year 2",B414
18431,"Ascentis Personal Finance Level 1","Ascentis Personal Finance Level 1",
18432,"Ascentis Enviromental Sustainability Level 1","Ascentis Enviromental Sustainability Level 1",
18433,"Ascentis Health & Safety Level 1","Ascentis Health & Safety Level 1",
10802,"Maths for Teachers",A5623,
7858,"National Diploma Sport with Outdoor Education Year 2 - Shuttleworth",NDSPOEFTS2,
129,"Biology for Access Courses",X_dfunge,X_dfunge
130,"Assessment Zone - L1 Carpentry",X_Assess_Con,X_Assess_Con
132,"Nat Dip Mus Tech Y2",X_L518Y2,X_L518
10683,"National Diploma Music Tech - Year 1",L518,
14243,"L3 YR1 6189-33 ","L3 YR1 6189-33 ",
3761," Assessment zone - Painting and Decorating ",AssessPD,
3762,"Painting and Decorating Revision Area",RevisionPD,
3764,"A2 Chemistry","A2 Chemistry",
3765,"A Level Chemistry","A Level Chemistry",X_A514
3766,"NVQ Level 2 Hairdressing & Diploma Level 2 & 3 Barbering Courses","NVQ Level 2 Hairdressing & Diploma Level 2 & 3 Barbering Courses",X_J001
3767,"FDA in Animation for Industry","FDA in Animation for Industry",A_FD_IndAnim
3771,"Level 3 National Diploma in Uniformed Public Services Year 2","Level 3 National Diploma in Uniformed Public Services Year 2",K646-12
3772,"Level 2 Diploma in Uniformed Public Services","Level 2 Diploma in Uniformed Public Services","K645 - 13"
3774,"HNC in Public Services",HNC_PS,
3775,"Access Health and Social Studies - Full Time","Access Health and Social Studies - Full Time",X_AccessHea
7862,"Level 1 Environmental Sustainability",EnvSus,
3777,"Brush Up Your Maths JF",X_P873,X_P873
3778,"Student Services &gt; Student Zone","Student Services &gt; Student Zone",X_Student_Zone
7883,"Associated Studies - Key Skills",AssStud,
3779,"Student Services &gt; Careers Zone","Student Services &gt; Careers Zone",X_Career_Zone
10762,"[B404] - Level 2 Diploma Sport with Outdoor Adventure","Level 2 Diploma Sport with Outdoor Adventure",B404
10859,"[B332] - Level 1 Diploma Land Based Studies","Level 1 Diploma Land Based Studies",B332
10765,"Construction End Unit Assessment Zone",ConsAssZon,
3782,"IT Services Training Course for Staff",X_ITS_Training,X_ITS_Training
3784,"Smartboard Training",Smart,SmartTrain
3788,"Moodle Training",ModTrain,ModTrain
7796,"Plumbing Full Time Level 1",C557,
7797,"Adv - Plumbing",C696,
3792,"City and Guilds Plumbing Technical Certificate Group A",CGTechPlum,C412A09
3793,"LDD Adults","LDD Adults",A_LDD_Ad
3857,"Functional Skills and Key Skills for Construction (D Belcher)","Functional Skills and Key Skills for Construction (DB) ",A_KS_Const_DB
18736,"[K1298] - Level 3 Diploma Supporting Teaching and Learning in Shools","Level 3 Diploma Supporting Teaching and Learning in Shools",K1298
18518,"[E1923] - Certificate for Supporting Teaching and Learning in Schools","Certificate for Supporting Teaching and Learning in Schools",E1923
18517,"[K1389] - Level 3 Award Supporting Teaching and Learning in Schools","Level 3 Award Supporting Teaching and Learning in Schools",
3859,"Level 2 Diploma - Creative Media Production",FirstDipMed,
14093,"Functional Skills Engineering",FuncSkillEng,FuncSkillEng
3860,"Foundation Degree Media",FDMed,L515
3862,"ILP Test Course","ILP Test Course",A_ILP_Test
3864,"Library - Bedford",LibRes,
3866,"A2 Sociology",A2_Soc,
3867,"Access Sociology",Ac_Soc,
3868,"City and Guilds Plumbing Technical Certificate Group B",C&GPlumB,
10744,"Aeronautical Engineering Level 3","Aeronautical Engineering Level 3",
7841,"Diploma in Animal Management - Shuttleworth",DipMFTS,
7846,"Advanced landscape construction - Shuttleworth",NAHLDPS23,
7808,"(14-16) Young Apprenticeship Hairdressing Level 2",J656,
3878,"Assessment Zone - Bricklaying",AssessBrickLay,
3883,"AS History",ASHist,
3884,"A Level History",AHist,
7842,"Investigative Project - Shuttleworth",NAHLDPS01,
7843,"Horticultural business accounting and management - Shuttleworth",NAHLDPS02,
10763,CPD,CPD,
14122,"Horticulture Apprenticeship (B880)","B880 - Horticultue Apprenticeship",B880
14123,"Agriculture Apprenticeship - B1043","Agriculture Apprenticeship - B1043",B1043
3893,"Management Level 3 NVQ",Man3,
3894,"Management Level 4 NVQ",Man4,
3895,"Management Level 5 NVQ",Man5,
10684,"[B399] - Extended Diploma in Horticulture - Yr1","Extended Diploma in Horticulture - Yr1",B399
10696,"RHS - Certificate in the principles of PLANT Growth, Health and Applied Propogation (L3 - Evening)","B792 - Eve",
3897,"Business Administration","Business Administration",
3898,"Brush up your English",BUYEng,
3899,"Brush up your English (Entry)",BUYEngEnt,
3901,"Brush up your Maths (Entry)",BUYMaEnt,
3902,"Brush up your English (Workshop)",BUYEngWork,
3904,"Brush up your English NS",BUYEngNS_1,
3905,"Brush up your English (Entry) NS",BUYEngEntNS,
3907,"Brush up your Maths (Entry) NS",BUYMaEntNS,
3908,"Brush up your Maths (Entry) KN",BUYMaEntKN,
3910,"Brush up your English (Entry) KN",BUYEngEntKN,
3911,"Brush up your English KN",BUYEngKN,
3915,"Brush up your Maths (Entry) MW",BUYMaEntMW,
3917,"Brush up your English (Entry) MW",BUYEngEntMW,
3918,"Brush up your English MW",BUYEngMW,
3919,"Brush up your Maths (Entry) BH",BUYMaEntBH,
3921,"Brush up your English (Entry) BH",BUYEngEntBH,
3922,"Brush up your English BH",BUYEngBH,
3923,"Brush up your Maths (Entry) MaW",BUYMaEntMaW,
3925,"Brush up your English (Entry) MaW",BUYEngEntMaW,
3926,"Brush up your English MaW",BUYEngMaW,
3927,"Brush up your Maths (Entry) AR",BUYMaEntAR,
3929,"Brush up your English (Entry) AR",BUYEngEntAR,
3930,"Brush up your English AR",BUYEngAR,
3931,"Brush up your Maths (Entry) AU",BUYMaEntAU,
3933,"Brush up your English (Entry) AU",BUYEngEntAU,
3934,"Brush up your EnglishAU",BUYEngAU,
3935,"Brush up your Maths (Entry) DM",BUYMaEntDM,
3937,"Brush up your English (Entry) DM",BUYEngEntDM,
3938,"Brush up your English DM",BUYEngDM,
3939,"Brush up your Maths (Entry) JF",BUYMaEntJF,
3940,"Brush up your English (Entry) JF",BUYEngEntJF,
3941,"Brush up your English JF",BUYEngJF,
3942,"NVQ Level 2 Supporting Teaching & Learning In Schools",X_E766-E767Levl2,
14755,"[K1393] Level 2 Certificate in Supporting the Teaching and Learning of a Bilingual Learner",K1393,
3943,"Level 2 Diploma - Art and Design",FirstDip,
18331,"[E1897] CACHE Level 2 Award in Support Work in Schools (QCF)","E1897: CACHE Level 2 Award in Support Work in Schools (QCF)",
18332,"CACHE Level 2 Certificate in Supporting Teaching and Learning in Schools (QCF)","E1923: CACHE Level 2 Certificate in Supporting Teaching and Learning in Schools (QCF)",
18334,"[L521] - BTEC LEVEL 3 Performing Arts (Acting)","BTEC LEVEL 3 Performing Arts (Acting)",L521
3944,"Level 1 Diploma in Art and Design",IntDipArt,
18474,"NCFE Job Search and Interview Skills","NCFE Job Search and Interview Skills",
3945,"Extended Diploma in Interactive Media","Extended Diploma in Interactive Media",
3946,"Functional Skills and Key Skills for Construction (Lesley Brooke)","Functional Skills and Key Skills for Construction (LB)",C451
3947,"AS Geography","AS Geography",AS_Geog
3948,"A2 Geography","A2 Geography",A2_Geog
3949,"AS Environmental Studies","AS Environmental Studies",AS_Env_Stud
3950,"A2 Environmental Studies","A2 Environmental Studies",A2_Env_Stud
3951,"A level Geology",AGeology,
3953,"AS Archaeology","AS Archaeology",AS_Arch
3954,"A2 Archaeology","A2 Archaeology",A2_Arch
3956,Comp_ITQ,Comp_ITQ,Comp_ITQ
3957,"Functional Skills Resources","Functional Skills Resources",
3959,"Extended Diploma in Photography","ED in Photography",EDinPhoto
3961,"GCSE General Studies",GenStudGCSE,
3965,"14+ Students Information",StuInfo,
3967,"Childcare L1",ChildL1,ChildL1
3968,"GCSE Business Studies",GCSEBusStud,
3969,"CACHE Level 2 Children's Care Learning and Development",K1120,K1120
10699,"RHS - Certificate in the principles of Garden Planning, Establishment and Maintenance (L2 - Eve)","B788 - Eve",
3971,"Construction L1",ConsL1,
3972,"Construction L2",ConsL2,C862
3973,"Engineering L1",EngL1,EngL1
3974,"Engineering L2",EngL2,EngL2
3975,"Hair and Beauty L1",HairBeaL1,HairBeaL1
3976,"Hairdressing Level2",HairL2,HairL2
3977,"Hospitality and Catering L1",HospL1,HospL1
3978,"Hospitality and Catering L2",HospL2,HospL2
3979,"Motor Vehicle L1 IMI",MotVehL1,MotVehL1
3980,"Motor Vehicle L2 BTEC",MotVehL2BTec,MotVehL2BTec
3981,"Motor Vehicle L2 IMI",MotVehL2IMI,
3985,"AS Economics",ASEco,
3986,"Assessment Zone - L3 Carpentry",AssL3Carp,
3987,"BTEC Level 1 Certificate in IT and Workskills",Lv1CertIT,
3989,"BTEC Level 3 in IT","BTEC Level 3 in IT",
3990,"Foundation Degree in IT Networking and Security",FdScITNetSec,"F1090, F1085"
3993,"ITQ - CompTIA Strata","ITQ Strata 1","F1231, F1658, F1048A, F1048B"
3995,"Website Design Level 2 with Adobe Dreamweaver CS3",DreamCS3,
3996,"BTEC National Diploma Construction - Year 2",BTECNDYR2,
3997,"Foundation Degree Sustainable Construction - Year 2",FDSusConsYR2,
3998,"BTEC Extended Diploma in Health and Social Care Year 2","Year 2 Social Care",K1005A
10818,"Functional Skills - Motor Vehicle",FuncSkilVTC,
4001,"BTEC L2 First Diploma in Health and Social Care","BTEC L2 First Diploma in Health and Social Care",K639
4002,"Advanced Beauty Therapy Level 3","Advanced Beauty Therapy Level 3",
4003,"Intermediate Beauty Therapy for level 2","Intermediate Beauty Therapy for level 2",
4004,"Foundation Beauty Therapy for Level 1","Foundation Beauty Therapy for Level 1",
4005,"BTEC L1 Health & Social Care (FLT)",FdnCare,K1124
4007,"HNC/HND Textiles/Fashion",HNCDText,
4008,"Child Care Level 1",CCLevel1,
4010,"Edexcel Level 3 BTEC Foundation Diploma in Art and Design: Diagnostic First Term","FAD 10/11",
14132,"BTEC Level 2 Diploma in IT",BTECLvl2DipIT,
4014,"Student Services","Student Services",StudServ
4015,"Student Services &gt; Additional Support","Student Services &gt; Additional Support",SS-AD
4029,"D589:Light Vehicle Level 1",D589:LigVehLev1,
4030,"D610:Body and Paint Level 1",D610:BodPainLev1,
4031,"D867:BTEC - Level 3 National Diploma in Vehicle Technology F/T",D867:NDVehTech,
14198,"Electrical Engineering - Evening Course [D1241]","Electrical Engineering - Evening Course",D1241
14223,"Shuttleworth Pig Blog","Shuttleworth Pig Blog","Pig Blog"
7535,"Practice Space copy 1",PracSpac_1,
7880,"AS Communication and Culture",ComCul,
7542,"IT Hints and Tips",MoodleHints,MoodleHints
10685,"[B399] - Extended Diploma in Horticulture - Yr2","Extended Diploma in Horticulture - Yr2",B399
14177,"Introduction To Marketing [E1864]","Introduction To Marketing",E1864
7787,"Fdn - Performing Arts (I)",L601,
7782,"D791/D821:Light Vehicle Level 3",D791/D821,
7783,"NCFE Sustainable Development L1 ",SusDev,
7788,"OCNOTC ACCESS TO HE DIP NURSING A L3",E1244,
7789,"[E1677] - OCNOTC ACCESS TO HE DIP MIDWIFERY L3","OCNOTC ACCESS TO HE DIP MIDWIFERY L3",E1677
7790,"OCNOTC ACCESS TO HE DIP SCIENCE L3",E1246,
7791,"OCNOTC ACCESS TO HE DIP TEACHER ED L3",E1240,
7792,"OCNOTC ACCESS TO HE DIP SOCL SCIENCES L3",E1248,
7793,"Int - Pathway to Advanced Study",E1133,
14616,"Access to Nurses","E2074 Access to Nurses",E2074
7865,"Access to Combined Studies","Access to Combined Studies",X_E1803
7866,"Access to Teacher Education",AccTeachEd,
7968,"CMI L3 Diploma in First Line Management ",CMIL3Dip,
7869,"Electrotechnical Installations - Level 1","Electrotechnical Installs - L1",EIL1
7872,"IT Essentials 1","IT Essentials 1",ITEssentials1
7873,"Financial Services Diploma Level 2","Financial Services Dipl L2",FSDL2
7875,"Plumbing Full Time Level 3","Plumbing Full Time Level 3",C696
7876,"Water Regulations (Short Course)",WatRegs,
7877,"Unvented (Short Course)",Unvent,
7878,"Solar (Short Course)",Solar,
7879,"A2 Government and Politics",GovPol,
7882,"AS Film Studies",ASFilm,
7881,"AS Philosophy",ASPhil,
7887,"Extended Diploma Design Crafts",L013,
7954,"Student Services Home Shuttleworth",PortalShutt,
7889,"Introduction to PHP and MySQL","Intro to PHP and MySQL",IntroPHP
7891,"[K1128] - Cache Level 2 Certificate, Award & Diploma In Childcare & Education","Cache Level 2 Certificate, Award & Diploma In Childcare & Education",K1128
7905,"Entry to Independance",X009,
7906,"Steps to Independance 1 & 2 and Pathways",X010,
7907,"Steps to Independance 3",X419,
7916,"E1053 - Business Finance Functional Skills",E1053,
7914,"E1012 - AAT Functional Skills",E1012,
7915,"E1010 - Business Finance Functional Skills",E1010,
7908,"E1603 - Business Apprentice Functional Skills",E1603,
7909," E1013 - AAT L3 Functional Skills",E1013,
7917,"E1011 - BTEC Business Functional Skills...",E1011,
7919,"GCSE Spanish",N340,
7920,"AS Spanish",N524,
7922,"Student Services &gt; Home 2",Portal,Portal
7924,Headways,X300,
7929,"Extended Diploma Horse Management Y1 - Shuttleworth","Level 3 HM","B388 (11)"
7931,"National Diploma Horse Management Y2 - Shuttleworth","NDHMFTS Y2",
14213,"Blank Moodle Course For Training","Blank Moodle Course For Training",
14218,"Functional Skills Cross College","Functional Skills Cross College",
20036,"Practice Area two","Practice Area two",
7935," L3 B323 -12 Extended Diploma in Agriculture Yr 2","L3 Ext Dip Ag","B323 - 12"
7936,"National Award Agriculture Yr 1",NAAG1,
7940,"National Award in Fish Management Yr 1",NAFM1,
7941,"First Certificate in Agriculature Yr 1",FCAG1,
7942,"Extended Diploma in Fish Management Yr1",NDFM1,
7943,"First Diploma in Agriculture Yr2",FDAG2,
7944,"L2 Diploma Introduction To Agriculture ","L2 Diploma Introduction To Agriculture ",
7945,"C&G Certificate in Practical Gardening",C&GPracGard,
7946,"National Certificate in Sport (Outdoor Adventure)",NCSport,
7947,"RHS Advanced Certificate",RHSAdv,
7953,Skyline,Skyline,Skyline
15074,"EILP Training Course 1","EILP Training Course 1",
7964,"AS Communication and Culture ",ASComCult,
7966,"Animal Centre News",AnCentNew,
7970,"Student Services &gt; Careers Zone:Shuttleworth","Student Services &gt; Careers Zone;Shuttleworth",
7969,"NVQ3 /C&G 2356-31. Dept : Electrical installation",NVQ3,
